"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:07:15.3875700","chrome.exe","8724","TCP Reconnect","Tetrimino:51452 -> Tetrimino:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:15.3885562","chrome.exe","8724","TCP Reconnect","Tetrimino:51453 -> Tetrimino:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:15.8879511","chrome.exe","8724","TCP Reconnect","www.localhost:51454 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:15.8909392","chrome.exe","8724","TCP Reconnect","www.localhost:51455 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:16.3883652","chrome.exe","8724","TCP Reconnect","www.localhost:51454 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:16.3913698","chrome.exe","8724","TCP Reconnect","www.localhost:51455 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:17.8947738","chrome.exe","8724","TCP Reconnect","Tetrimino:51457 -> Tetrimino:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:17.8967685","chrome.exe","8724","TCP Reconnect","Tetrimino:51456 -> Tetrimino:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:18.3971532","chrome.exe","8724","TCP Reconnect","Tetrimino:51456 -> Tetrimino:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:18.3972259","chrome.exe","8724","TCP Reconnect","Tetrimino:51457 -> Tetrimino:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:18.8976351","chrome.exe","8724","TCP Reconnect","www.localhost:51458 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:18.8986093","chrome.exe","8724","TCP Reconnect","www.localhost:51459 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:19.3982099","chrome.exe","8724","TCP Reconnect","www.localhost:51458 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:19.3990221","chrome.exe","8724","TCP Reconnect","www.localhost:51459 -> www.localhost:9229","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"23:07:19.5129254","chrome.exe","8724","TCP Send","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 85, startime: 3552005, endtime: 3552019, seqnum: 0, connid: 0"
"23:07:19.5155739","chrome.exe","8724","TCP Send","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 46, startime: 3552005, endtime: 3552020, seqnum: 0, connid: 0"
"23:07:19.5185303","chrome.exe","8724","TCP Receive","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 46, seqnum: 0, connid: 0"
"23:07:19.5192894","chrome.exe","8724","TCP Receive","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 78, seqnum: 0, connid: 0"
"23:07:19.5194005","chrome.exe","8724","TCP Receive","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 81, seqnum: 0, connid: 0"
"23:07:19.5194335","chrome.exe","8724","TCP Receive","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 38, seqnum: 0, connid: 0"
"23:07:19.5194817","chrome.exe","8724","TCP Receive","Tetrimino:51318 -> ams15s29-in-f3.1e100.net:https","SUCCESS","Length: 46, seqnum: 0, connid: 0"
"23:07:19.6172497","chrome.exe","8724","TCP Send","Tetrimino:51316 -> ams17s01-in-f5.1e100.net:https","SUCCESS","Length: 937, startime: 3552016, endtime: 3552030, seqnum: 0, connid: 0"
"23:07:19.6182162","chrome.exe","8724","TCP Send","Tetrimino:51316 -> ams17s01-in-f5.1e100.net:https","SUCCESS","Length: 39, startime: 3552016, endtime: 3552030, seqnum: 0, connid: 0"
"23:07:19.6182769","chrome.exe","8724","TCP Receive","Tetrimino:51316 -> ams17s01-in-f5.1e100.net:https","SUCCESS","Length: 39, seqnum: 0, connid: 0"
"23:07:19.6183122","chrome.exe","8724","TCP Receive","Tetrimino:51316 -> ams17s01-in-f5.1e100.net:https","SUCCESS","Length: 149, seqnum: 0, connid: 0"
"23:07:19.6183889","chrome.exe","8724","TCP Receive","Tetrimino:51316 -> ams17s01-in-f5.1e100.net:https","SUCCESS","Length: 1430, seqnum: 0, connid: 0"
