"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:07:15.3791404","System","4","Thread Create","","SUCCESS","Thread ID: 460"
"23:07:15.3799392","lsass.exe","704","Thread Create","","SUCCESS","Thread ID: 6776"
"23:07:15.5328424","chrome.exe","4840","Thread Exit","","SUCCESS","Thread ID: 11748, User Time: 0.1093750, Kernel Time: 0.0000000"
"23:07:16.0991615","svchost.exe","3604","Thread Exit","","SUCCESS","Thread ID: 11716, User Time: 0.0000000, Kernel Time: 0.0000000"
"23:07:16.4099400","chrome.exe","10296","Thread Create","","SUCCESS","Thread ID: 6720"
"23:07:16.4206664","chrome.exe","10852","Thread Exit","","SUCCESS","Thread ID: 4960, User Time: 0.3281250, Kernel Time: 0.0468750"
"23:07:16.4614789","chrome.exe","10296","Thread Create","","SUCCESS","Thread ID: 11284"
"23:07:19.2883183","SkypeApp.exe","428","Thread Exit","","SUCCESS","Thread ID: 7060, User Time: 0.0000000, Kernel Time: 0.0000000"
"23:07:19.5420824","chrome.exe","10852","Thread Create","","SUCCESS","Thread ID: 9980"
"23:07:19.7795379","chrome.exe","8724","Thread Exit","","SUCCESS","Thread ID: 6952, User Time: 0.0000000, Kernel Time: 0.0156250"
"23:07:20.0850766","MsMpEng.exe","3984","Thread Create","","SUCCESS","Thread ID: 4956"
"23:07:20.3010328","chrome.exe","8724","Thread Exit","","SUCCESS","Thread ID: 10620, User Time: 0.0000000, Kernel Time: 0.0000000"
"23:07:20.4217776","sihost.exe","3468","Thread Create","","SUCCESS","Thread ID: 5308"
"23:07:20.7638826","svchost.exe","5324","Thread Exit","","SUCCESS","Thread ID: 11988, User Time: 0.0000000, Kernel Time: 0.0156250"
"23:07:21.9855374","svchost.exe","1732","Thread Create","","SUCCESS","Thread ID: 5108"
"23:07:22.2711083","svchost.exe","2076","Thread Create","","SUCCESS","Thread ID: 9524"
"23:07:22.2714345","svchost.exe","2076","Thread Create","","SUCCESS","Thread ID: 10364"
"23:07:23.2403944","svchost.exe","2076","Thread Create","","SUCCESS","Thread ID: 5776"
"23:07:23.7600895","chrome.exe","8724","Thread Create","","SUCCESS","Thread ID: 9232"
"23:07:24.2206944","chrome.exe","4840","Thread Create","","SUCCESS","Thread ID: 8884"
"23:07:24.4624397","svchost.exe","2456","Thread Create","","SUCCESS","Thread ID: 5132"
"23:07:25.0415487","chrome.exe","8724","Process Create","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","SUCCESS","PID: 4252, Command line: ""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1612,8794005255836107264,1022765379407270454,131072 --service-pipe-token=745873454358728730 --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=745873454358728730 --renderer-client-id=627 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=13352 /prefetch:1"
