"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:07:15.3840995","Idle","0","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 97935.8906250 seconds, Private Bytes: 53,248, Working Set: 8,192"
"23:07:15.3841000","System","4","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 565.6875000 seconds, Private Bytes: 159,744, Working Set: 139,264"
"23:07:15.3841201","smss.exe","336","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.1406250 seconds, Private Bytes: 491,520, Working Set: 1,007,616"
"23:07:15.3841326","csrss.exe","504","Process Profiling","","SUCCESS","User Time: 0.2187500 seconds, Kernel Time: 0.8906250 seconds, Private Bytes: 1,785,856, Working Set: 4,210,688"
"23:07:15.3841419","wininit.exe","624","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 1,425,408, Working Set: 5,148,672"
"23:07:15.3841531","csrss.exe","632","Process Profiling","","SUCCESS","User Time: 0.6250000 seconds, Kernel Time: 88.0781250 seconds, Private Bytes: 2,109,440, Working Set: 4,403,200"
"23:07:15.3841629","services.exe","696","Process Profiling","","SUCCESS","User Time: 6.2812500 seconds, Kernel Time: 7.0625000 seconds, Private Bytes: 5,074,944, Working Set: 8,011,776"
"23:07:15.3841634","lsass.exe","704","Process Profiling","","SUCCESS","User Time: 5.1250000 seconds, Kernel Time: 4.7812500 seconds, Private Bytes: 7,237,632, Working Set: 12,963,840"
"23:07:15.3842348","svchost.exe","828","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 962,560, Working Set: 3,330,048"
"23:07:15.3843178","fontdrvhost.exe","848","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 2,138,112, Working Set: 2,600,960"
"23:07:15.3843419","svchost.exe","864","Process Profiling","","SUCCESS","User Time: 4.7187500 seconds, Kernel Time: 9.7500000 seconds, Private Bytes: 11,030,528, Working Set: 23,822,336"
"23:07:15.3843566","WUDFHost.exe","916","Process Profiling","","SUCCESS","User Time: 0.1562500 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 25,968,640, Working Set: 12,308,480"
"23:07:15.3843691","svchost.exe","984","Process Profiling","","SUCCESS","User Time: 8.3750000 seconds, Kernel Time: 5.3593750 seconds, Private Bytes: 7,323,648, Working Set: 13,201,408"
"23:07:15.3843802","svchost.exe","288","Process Profiling","","SUCCESS","User Time: 0.3125000 seconds, Kernel Time: 0.4843750 seconds, Private Bytes: 2,285,568, Working Set: 6,402,048"
"23:07:15.3844396","winlogon.exe","536","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.2031250 seconds, Private Bytes: 2,617,344, Working Set: 7,544,832"
"23:07:15.3845101","fontdrvhost.exe","636","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1875000 seconds, Private Bytes: 5,259,264, Working Set: 8,601,600"
"23:07:15.3845320","dwm.exe","1096","Process Profiling","","SUCCESS","User Time: 250.3750000 seconds, Kernel Time: 144.0781250 seconds, Private Bytes: 48,320,512, Working Set: 44,003,328"
